sk_cid;cd_cid;ds_cid;dt_carga
64;a155;tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica;2025-10-04 02:54:51
65;a156;pleuris tuberculoso, com confirmação bacteriológica e histológica;2025-10-04 02:54:51
66;a157;tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica;2025-10-04 02:54:51
67;a158;outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica;2025-10-04 02:54:51
68;a159;tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica;2025-10-04 02:54:51
69;a160;tuberculose pulmonar com exames bacteriológico e histológico negativos;2025-10-04 02:54:51
70;a161;tuberculose pulmonar, sem realização de exame bacteriológico ou histológico;2025-10-04 02:54:51
71;a162;tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica;2025-10-04 02:54:51
72;a163;tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica;2025-10-04 02:54:51
73;a164;tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica;2025-10-04 02:54:51
74;a165;pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica;2025-10-04 02:54:51
75;a167;tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica;2025-10-04 02:54:51
76;a168;outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica;2025-10-04 02:54:51
77;a169;tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica;2025-10-04 02:54:51
78;a170;meningite tuberculosa;2025-10-04 02:54:51
79;a171;tuberculoma meníngeo;2025-10-04 02:54:51
80;a178;outras tuberculoses do sistema nervoso;2025-10-04 02:54:51
81;a179;tuberculose não especificada do sistema nervoso;2025-10-04 02:54:51
82;a180;tuberculose óssea e das articulações;2025-10-04 02:54:51
83;a181;tuberculose do aparelho geniturinário;2025-10-04 02:54:51
84;a182;linfadenopatia tuberculosa periférica;2025-10-04 02:54:51
85;a183;tuberculose do intestino, do peritônio e dos gânglios mesentéricos;2025-10-04 02:54:51
86;a184;tuberculose de pele e do tecido celular subcutâneo;2025-10-04 02:54:51
87;a185;tuberculose do olho;2025-10-04 02:54:51
88;a186;tuberculose do ouvido;2025-10-04 02:54:51
89;a187;tuberculose das supra-renais;2025-10-04 02:54:51
90;a188;tuberculose de outros órgãos especificados;2025-10-04 02:54:51
91;a190;tuberculose miliar aguda de localização única e especificada;2025-10-04 02:54:51
92;a191;tuberculose miliar aguda de múltiplas localizações;2025-10-04 02:54:51
93;a192;tuberculose miliar aguda não especificada;2025-10-04 02:54:51
94;a198;outras tuberculoses miliares;2025-10-04 02:54:51
95;a199;tuberculose miliar não especificada;2025-10-04 02:54:51
96;a200;peste bubônica;2025-10-04 02:54:51
97;a201;peste celulocutânea;2025-10-04 02:54:51
98;a202;peste pneumônica;2025-10-04 02:54:51
99;a203;peste meníngea;2025-10-04 02:54:51
100;a207;peste septicêmica;2025-10-04 02:54:51
101;a208;outras formas de peste;2025-10-04 02:54:51
102;a209;peste, forma não especificada;2025-10-04 02:54:51
103;a210;tularemia ulceroglandular;2025-10-04 02:54:51
104;a211;tularemia oculoglandular;2025-10-04 02:54:51
105;a212;tularemia pulmonar;2025-10-04 02:54:51
106;a213;tularemia gastrointestinal;2025-10-04 02:54:51
107;a217;tularemia generalizada;2025-10-04 02:54:51
108;a218;outras formas de tularemia;2025-10-04 02:54:51
109;a219;tularemia, forma não especificada;2025-10-04 02:54:51
110;a220;carbúnculo cutâneo;2025-10-04 02:54:51
111;a221;carbúnculo pulmonar;2025-10-04 02:54:51
112;a222;carbúnculo gastrointestinal;2025-10-04 02:54:51
113;a227;septicemia carbunculosa;2025-10-04 02:54:51
114;a228;outras formas de carbúnculo;2025-10-04 02:54:51
115;a229;carbúnculo, forma não especificada;2025-10-04 02:54:51
116;a230;brucelose por brucella melitensis;2025-10-04 02:54:51
117;a231;brucelose por brucella abortus;2025-10-04 02:54:51
118;a232;brucelose por brucella suis;2025-10-04 02:54:51
119;a233;brucelose por brucella canis;2025-10-04 02:54:51
120;a238;outras bruceloses;2025-10-04 02:54:51
121;a239;brucelose não especificada;2025-10-04 02:54:51
122;a240;mormo;2025-10-04 02:54:51
123;a241;melioidose aguda e fulminante;2025-10-04 02:54:51
124;a242;melioidose subaguda e crônica;2025-10-04 02:54:51
125;a243;outras melioidoses;2025-10-04 02:54:51
126;a244;melioidose não especificada;2025-10-04 02:54:51
127;a250;espirilose;2025-10-04 02:54:51
128;a251;estreptobacilose;2025-10-04 02:54:51
129;a259;febre transmitida por mordedura de rato, tipo não especificado;2025-10-04 02:54:51
130;a260;erisipelóide cutâneo;2025-10-04 02:54:51
131;a267;septicemia por erysipelothrix;2025-10-04 02:54:51
132;a268;outras formas de erisipelóide;2025-10-04 02:54:51
133;a269;erisipelóide não especificado;2025-10-04 02:54:51
134;a270;leptopirose icterohemorrágica;2025-10-04 02:54:51
135;a278;outras formas de leptospirose;2025-10-04 02:54:51
136;a279;leptospirose não especificada;2025-10-04 02:54:51
137;a280;pasteurelose;2025-10-04 02:54:51
138;a281;doença por arranhadura do gato;2025-10-04 02:54:51
139;a282;yersiniose extra-intestinal;2025-10-04 02:54:51
140;a288;outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte;2025-10-04 02:54:51
141;a289;doença bacteriana zoonótica não especificada;2025-10-04 02:54:51
142;a300;hanseníase [lepra] indeterminada;2025-10-04 02:54:51
143;a301;hanseníase [lepra] tuberculóide;2025-10-04 02:54:51
144;a302;hanseníase [lepra] tuberculóide borderline;2025-10-04 02:54:51
145;a303;hanseníase [lepra] dimorfa;2025-10-04 02:54:51
146;a304;hanseníase [lepra] lepromatosa borderline;2025-10-04 02:54:51
147;a305;hanseníase [lepra] lepromatosa;2025-10-04 02:54:51
148;a308;outras formas de hanseníase [lepra];2025-10-04 02:54:51
149;a309;hanseníase [lepra] não especificada;2025-10-04 02:54:51
150;a310;infecção pulmonar micobacteriana;2025-10-04 02:54:51
151;a311;infecção cutânea micobacteriana;2025-10-04 02:54:51
152;a318;outras infecções micobacterianas;2025-10-04 02:54:51
153;a319;infecção micobacteriana não especificada;2025-10-04 02:54:51
154;a320;listeriose cutânea;2025-10-04 02:54:51
155;a321;meningite e meningoencefalite por listéria;2025-10-04 02:54:51
156;a327;septicemia listeriótica;2025-10-04 02:54:51
157;a328;outras formas de listeriose;2025-10-04 02:54:51
158;a329;listeriose não especificada;2025-10-04 02:54:51
159;a33;tétano do recém-nascido [neonatal];2025-10-04 02:54:51
160;a34;tétano obstétrico;2025-10-04 02:54:51
161;a35;outros tipos de tétano;2025-10-04 02:54:51
162;a360;difteria faríngea;2025-10-04 02:54:51
163;a361;difteria nasofaríngea;2025-10-04 02:54:51
164;a362;difteria laríngea;2025-10-04 02:54:51
165;a363;difteria cutânea;2025-10-04 02:54:51
166;a368;outras formas de difteria;2025-10-04 02:54:51
167;a369;difteria não especificada;2025-10-04 02:54:51
168;a370;coqueluche por bordetella pertussis;2025-10-04 02:54:51
169;a371;coqueluche por bordetella parapertussis;2025-10-04 02:54:51
170;a378;coqueluche por outras espécies da bordetella;2025-10-04 02:54:51
171;a379;coqueluche não especificada;2025-10-04 02:54:51
172;a38;escarlatina;2025-10-04 02:54:51
173;a390;meningite meningocócica;2025-10-04 02:54:51
174;a391;síndrome de waterhouse-friderichsen;2025-10-04 02:54:51
175;a392;meningococcemia aguda;2025-10-04 02:54:51
176;a393;meningococcemia crônica;2025-10-04 02:54:51
177;a394;meningococcemia não especificada;2025-10-04 02:54:51
178;a395;cardite por meningococos;2025-10-04 02:54:51
179;a398;outras infecções por meningococos;2025-10-04 02:54:51
180;a399;infecção meningocócica não especificada;2025-10-04 02:54:51
181;a400;septicemia por streptococcus do grupo a;2025-10-04 02:54:51
182;a401;septicemia por streptococcus do grupo b;2025-10-04 02:54:51
183;a402;septicemia por streptococcus do grupo d;2025-10-04 02:54:51
184;a403;septicemia por streptococcus pneumonia;2025-10-04 02:54:51
185;a408;outras septicemias estreptocócicas;2025-10-04 02:54:51
186;a409;septicemia estreptocócica não especificada;2025-10-04 02:54:51
187;a410;septicemia por staphylococcus aureus;2025-10-04 02:54:51
188;a411;septicemia por outros estafilococos especificados;2025-10-04 02:54:51
189;a412;septicemia por estafilococos não especificados;2025-10-04 02:54:51
190;a413;septicemia por haemophilus influenzae;2025-10-04 02:54:51
191;a414;septicemia por anaeróbios;2025-10-04 02:54:51
192;a415;septicemia por outros microorganismos gram-negativos;2025-10-04 02:54:51
193;a418;outras septicemias especificadas;2025-10-04 02:54:51
194;a419;septicemia não especificada;2025-10-04 02:54:51
195;a420;actinomicose pulmonar;2025-10-04 02:54:51
196;a421;actinomicose abdominal;2025-10-04 02:54:51
197;a422;actinomicose cervicofacial;2025-10-04 02:54:51
198;a427;septicemia actinomicótica;2025-10-04 02:54:51
199;a428;outras formas de actinomicose;2025-10-04 02:54:51
200;a429;actinomicose não especificada;2025-10-04 02:54:51
201;a430;nocardiose pulmonar;2025-10-04 02:54:51
202;a431;nocardiose cutânea;2025-10-04 02:54:51
203;a438;outras formas de nocardiose;2025-10-04 02:54:51
204;a439;nocardiose não especificada;2025-10-04 02:54:51
205;a440;bartonelose sistêmica;2025-10-04 02:54:51
206;a441;bartonelose cutânea e cutâneo-mucosa;2025-10-04 02:54:51
207;a448;outras formas de bartonelose;2025-10-04 02:54:51
208;a449;bartonelose não especificada;2025-10-04 02:54:51
209;a46;erisipela;2025-10-04 02:54:51
210;a480;gangrena gasosa;2025-10-04 02:54:51
211;a481;doença dos legionários;2025-10-04 02:54:51
212;a482;doença dos legionários não-pneumônica [febre de pontiac];2025-10-04 02:54:51
213;a483;síndrome do choque tóxico;2025-10-04 02:54:51
214;a484;febre purpúrica do brasil;2025-10-04 02:54:51
215;a488;outras doenças bacterianas especificadas;2025-10-04 02:54:51
216;a490;infecção estafilocócica de localização não especificada;2025-10-04 02:54:51
217;a491;infecção estreptocócica de localização não especificada;2025-10-04 02:54:51
218;a492;infecção por haemophilus influenzae de localização não especificada;2025-10-04 02:54:51
219;a493;infecção por mycoplasma de localização não especificada;2025-10-04 02:54:51
220;a498;outras infecções bacterianas de localização não especificada;2025-10-04 02:54:51
221;a499;infecção bacteriana não especificada;2025-10-04 02:54:51
222;a500;sífilis congênita precoce sintomática;2025-10-04 02:54:51
223;a501;sífilis congênita precoce, forma latente;2025-10-04 02:54:51
224;a502;sífilis congênita precoce não especificada;2025-10-04 02:54:51
225;a503;oculopatia sifilítica congênita tardia;2025-10-04 02:54:51
226;a504;neurossífilis congênita tardia [neurossífilis juvenil];2025-10-04 02:54:51
227;a505;outras formas tardias e sintomáticas da sífilis congênita;2025-10-04 02:54:51
228;a506;sífilis congênita tardia latente;2025-10-04 02:54:51
229;a507;sífilis congênita tardia não especificada;2025-10-04 02:54:51
230;a509;sífilis congênita não especificada;2025-10-04 02:54:51
231;a510;sífilis genital primária;2025-10-04 02:54:51
232;a511;sífilis anal primária;2025-10-04 02:54:51
233;a512;sífilis primária de outras localizações;2025-10-04 02:54:51
234;a513;sífilis secundária da pele e das mucosas;2025-10-04 02:54:51
235;a514;outras formas de sífilis secundária;2025-10-04 02:54:51
236;a515;sífilis precoce latente;2025-10-04 02:54:51
237;a519;sífilis precoce não especificada;2025-10-04 02:54:51
238;a520;sífilis cardiovascular;2025-10-04 02:54:51
239;a521;neurossífilis sintomática;2025-10-04 02:54:51
240;a522;neurossífilis assintomática;2025-10-04 02:54:51
241;a523;neurossífilis não especificada;2025-10-04 02:54:51
242;a527;outras formas de sífilis tardia sintomática;2025-10-04 02:54:51
243;a528;sífilis tardia latente;2025-10-04 02:54:51
244;a529;sífilis tardia não especificada;2025-10-04 02:54:51
245;a530;sífilis latente, não especificada se recente ou tardia;2025-10-04 02:54:51
246;a539;sífilis não especificada;2025-10-04 02:54:51
247;a540;infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias;2025-10-04 02:54:51
248;a541;infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias;2025-10-04 02:54:51
249;a542;pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas;2025-10-04 02:54:51
250;a543;infecção gonocócica do olho;2025-10-04 02:54:51
251;a544;infecção gonocócica do sistema músculo-esquelético;2025-10-04 02:54:51
252;a545;faringite gonocócica;2025-10-04 02:54:51
253;a546;infecção gonocócica do ânus ou do reto;2025-10-04 02:54:51
254;a548;outras infecções gonocócicas;2025-10-04 02:54:51
255;a549;infecção gonocócica não especificada;2025-10-04 02:54:51
256;a55;linfogranuloma (venéreo) por clamídia;2025-10-04 02:54:51
257;a560;infecções por clamídias do trato geniturinário inferior;2025-10-04 02:54:51
258;a561;infecção por clamídias, pelviperitonial e de outros órgãos geniturinários;2025-10-04 02:54:51
259;a562;infecção por clamídias do trato geniturinário, localização não especificada;2025-10-04 02:54:51
260;a563;infecção do ânus e do reto por clamídias;2025-10-04 02:54:51
261;a564;infecção da faringe por clamídias;2025-10-04 02:54:51
262;a568;infecção por clamídias transmitida por via sexual, de outras localizações;2025-10-04 02:54:51
263;a57;cancro mole;2025-10-04 02:54:51
264;a58;granuloma inguinal;2025-10-04 02:54:51
265;a590;tricomoníase urogenital;2025-10-04 02:54:51
266;a598;outras localizações de tricomoníase;2025-10-04 02:54:51
267;a599;tricomoníase não especificada;2025-10-04 02:54:51
268;a600;infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes;2025-10-04 02:54:51
269;a601;infecção da margem cutânea do ânus e do reto pelo vírus do herpes;2025-10-04 02:54:51
270;a609;infecção anogenital não especificada pelo vírus do herpes;2025-10-04 02:54:51
271;a630;verrugas anogenitais (venéreas);2025-10-04 02:54:51
272;a638;outras doenças especificadas de transmissão predominantemente sexual;2025-10-04 02:54:51
273;a64;doenças sexualmente transmitidas, não especificadas;2025-10-04 02:54:51
274;a65;sífilis não-venérea;2025-10-04 02:54:51
275;a660;lesões iniciais da bouba;2025-10-04 02:54:51
276;a661;papilomas múltiplos e bouba plantar úmida (cravo de bouba);2025-10-04 02:54:51
277;a662;outras lesões cutâneas precoces da bouba;2025-10-04 02:54:51
278;a663;hiperceratose devida a bouba;2025-10-04 02:54:51
279;a664;gomas e úlceras devidas à bouba;2025-10-04 02:54:51
280;a665;gangosa;2025-10-04 02:54:51
281;a666;lesões osteoarticulares devidas à bouba;2025-10-04 02:54:51
282;a667;outras manifestações da bouba;2025-10-04 02:54:51
283;a668;bouba latente;2025-10-04 02:54:51
284;a669;bouba não especificada;2025-10-04 02:54:51
285;a670;lesões primárias da pinta;2025-10-04 02:54:51
286;a671;lesões intermediárias da pinta;2025-10-04 02:54:51
287;a672;lesões tardias da pinta;2025-10-04 02:54:51
288;a673;lesões mistas da pinta;2025-10-04 02:54:51
289;a679;pinta não especificada;2025-10-04 02:54:51
290;a680;febre recorrente transmitida por piolhos;2025-10-04 02:54:51
291;a681;febre recorrente transmitida por carrapatos;2025-10-04 02:54:51
292;a689;febre recorrente não especificada;2025-10-04 02:54:51
293;a690;estomatite ulcerativa necrotizante;2025-10-04 02:54:51
294;a691;outras infecções de vincent;2025-10-04 02:54:51
295;a692;doença de lyme;2025-10-04 02:54:51
296;a698;outras infecções especificadas por espiroquetas;2025-10-04 02:54:51
297;a699;infecção por espiroqueta, não especificada;2025-10-04 02:54:51
298;a70;infecções causadas por clamídia psittaci;2025-10-04 02:54:51
299;a710;fase inicial do tracoma;2025-10-04 02:54:51
300;a711;fase ativa do tracoma;2025-10-04 02:54:51
301;a719;tracoma não especificado;2025-10-04 02:54:51
302;a740;conjuntivite causada por clamídias;2025-10-04 02:54:51
303;a748;outras doenças causadas por clamídias;2025-10-04 02:54:51
304;a749;infecção causada por clamídias não especificada;2025-10-04 02:54:51
305;a750;tifo epidêmico transmitido por piolhos devido a rickettsia prowazekii;2025-10-04 02:54:51
306;a751;tifo recrudescente [doença de brill];2025-10-04 02:54:51
307;a752;tifo por rickettsia typhi;2025-10-04 02:54:51
308;a753;tifo por rickettsia tsutsugamuchi;2025-10-04 02:54:51
309;a759;tifo não especificado;2025-10-04 02:54:51
310;a770;febre maculosa por rickettsia richettsii;2025-10-04 02:54:51
311;a771;febre maculosa por rickettsia conorii;2025-10-04 02:54:51
312;a772;febre maculosa devida à rickettsia siberica;2025-10-04 02:54:51
313;a773;febre maculosa devida à rickettsia australis;2025-10-04 02:54:51
314;a778;outras febres maculosas;2025-10-04 02:54:51
315;a779;febre maculosa não especificada;2025-10-04 02:54:51
316;a78;febre q;2025-10-04 02:54:51
317;a790;febre das trincheiras;2025-10-04 02:54:51
318;a791;rickettsiose variceliforme devida à rickettsia akari;2025-10-04 02:54:51
319;a798;outros tipos de rickettsioses especificadas;2025-10-04 02:54:51
320;a799;rickettsiose não especificada;2025-10-04 02:54:51
321;a800;poliomielite paralítica aguda, associada ao vírus vacinal;2025-10-04 02:54:51
322;a801;poliomielite paralítica aguda, vírus selvagem importado;2025-10-04 02:54:51
323;a802;poliomielite paralítica aguda, vírus selvagem indígena;2025-10-04 02:54:51
324;a803;poliomielites paralíticas agudas, outras e não especificadas;2025-10-04 02:54:51
325;a804;poliomielite aguda não-paralítica;2025-10-04 02:54:51
326;a809;poliomielite aguda não especificada;2025-10-04 02:54:51
327;a810;doença de creutzfeldt-jakob;2025-10-04 02:54:51
328;a811;panencefalite esclerosante subaguda;2025-10-04 02:54:51
329;a812;leucoencefalopatia multifocal progressiva;2025-10-04 02:54:51
330;a818;outras infecções por vírus atípicos do sistema nervoso central;2025-10-04 02:54:51
331;a819;infecção não especificada do sistema nervosos central por vírus atípicos;2025-10-04 02:54:51
332;a820;raiva silvestre;2025-10-04 02:54:51
333;a821;raiva urbana;2025-10-04 02:54:51
334;a829;raiva não especificada;2025-10-04 02:54:51
335;a830;encefalite japonesa;2025-10-04 02:54:51
336;a831;encefalite eqüina ocidental;2025-10-04 02:54:51
337;a832;encefalite eqüina oriental;2025-10-04 02:54:51
338;a833;encefalite de st. louis;2025-10-04 02:54:51
339;a834;encefalite australiana;2025-10-04 02:54:51
340;a835;encefalite da califórnia;2025-10-04 02:54:51
341;a836;doença pelo vírus de rocio;2025-10-04 02:54:51
342;a838;outras encefalites por vírus transmitidas por mosquitos;2025-10-04 02:54:51
343;a839;encefalite não especificada por vírus transmitida por mosquitos;2025-10-04 02:54:51
344;a840;encefalite da taiga [encefalite vernoestival russa];2025-10-04 02:54:51
345;a841;encefalite da europa central transmitida por carrapatos;2025-10-04 02:54:51
346;a848;outras encefalites por vírus transmitidas por carrapatos;2025-10-04 02:54:51
347;a849;encefalite não especificada por vírus transmitida por carrapatos;2025-10-04 02:54:51
348;a850;encefalite por enterovírus;2025-10-04 02:54:51
349;a851;encefalite por adenovírus;2025-10-04 02:54:51
350;a852;encefalite por vírus transmitido por artrópodes, não especificada;2025-10-04 02:54:51
351;a858;outras encefalites virais especificadas;2025-10-04 02:54:51
352;a86;encefalite viral, não especificada;2025-10-04 02:54:51
353;a870;meningite por enterovírus;2025-10-04 02:54:51
354;a871;meningite por adenovírus;2025-10-04 02:54:51
355;a872;coriomeningite linfocitária;2025-10-04 02:54:51
356;a878;outras meningites virais;2025-10-04 02:54:51
357;a879;meningite viral não especificada;2025-10-04 02:54:51
358;a880;febre exantemática por enterovírus [exantema de boston];2025-10-04 02:54:51
359;a881;vertigem epidêmica;2025-10-04 02:54:51
360;a888;outras infecções virais especificadas do sistema nervoso central;2025-10-04 02:54:51
361;a89;infecções virais não especificadas do sistema nervoso central;2025-10-04 02:54:51
362;a90;dengue [dengue clássico];2025-10-04 02:54:51
363;a91;febre hemorrágica devida ao vírus do dengue;2025-10-04 02:54:51
364;a920;febre de chikungunya;2025-10-04 02:54:51
365;a921;febre de o'nyong-nyong;2025-10-04 02:54:51
366;a922;febre eqüina venezuelana;2025-10-04 02:54:51
367;a923;infecção pelo vírus west nile;2025-10-04 02:54:51
368;a924;febre do vale do rift;2025-10-04 02:54:51
369;a928;outras febres virais especificadas transmitidas por mosquitos;2025-10-04 02:54:51
370;a929;febre viral transmitida por mosquitos, não especificada;2025-10-04 02:54:51
371;a930;febre de oropouche;2025-10-04 02:54:51
372;a931;febre por flebótomos;2025-10-04 02:54:51
373;a932;febre do colorado transmitida por carrapatos;2025-10-04 02:54:51
374;a938;outras febres virais especificadas transmitidas por artrópodes;2025-10-04 02:54:51
375;a94;febre viral transmitida por artrópodes, não especificada;2025-10-04 02:54:51
376;a950;febre amarela silvestre;2025-10-04 02:54:51
377;a951;febre amarela urbana;2025-10-04 02:54:51
378;a959;febre amarela não especificada;2025-10-04 02:54:51
379;a960;febre hemorrágica de junin;2025-10-04 02:54:51
380;a961;febre hemorrágica de machupo;2025-10-04 02:54:51
381;a962;febre de lassa;2025-10-04 02:54:51
382;a968;outras febres hemorrágicas por arenavírus;2025-10-04 02:54:51
383;a969;febre hemorrágica por arenavírus, não especificada;2025-10-04 02:54:51
384;a980;febre hemorrágica da criméia (do congo);2025-10-04 02:54:51
385;a981;febre hemorrágica de omsk;2025-10-04 02:54:51
386;a982;doença da floresta de kyasanur;2025-10-04 02:54:51
387;a983;doença de marburg;2025-10-04 02:54:51
388;a984;doença pelo vírus ebola;2025-10-04 02:54:51
389;a985;febre hemorrágica com síndrome renal;2025-10-04 02:54:51
390;a988;outras febres hemorrágicas especificadas por vírus;2025-10-04 02:54:51
391;a99;febres hemorrágicas virais não especificadas;2025-10-04 02:54:51
392;b000;eczema herpético;2025-10-04 02:54:51
393;b001;dermatite vesicular devido ao vírus do herpes;2025-10-04 02:54:51
394;b002;gengivoestomatite e faringoamigdalite devida ao vírus do herpes;2025-10-04 02:54:51
395;b003;meningite devida ao vírus do herpes;2025-10-04 02:54:51
396;b004;encefalite devida ao vírus do herpes;2025-10-04 02:54:51
397;b005;afecções oculares devidas ao vírus do herpes;2025-10-04 02:54:51
398;b007;doença disseminada devida ao vírus do herpes;2025-10-04 02:54:51
399;b008;outras formas de infecção devida ao vírus do herpes;2025-10-04 02:54:51
400;b009;infecção não especificada devida ao vírus do herpes;2025-10-04 02:54:51
401;b010;meningite por varicela;2025-10-04 02:54:51
402;b011;encefalite por varicela;2025-10-04 02:54:51
403;b012;pneumopatia varicelosa;2025-10-04 02:54:51
404;b018;varicela com outras complicações;2025-10-04 02:54:51
405;b019;varicela sem complicação;2025-10-04 02:54:51
406;b020;encefalite pelo vírus do herpes zoster;2025-10-04 02:54:51
407;b021;meningite pelo vírus do herpes zoster;2025-10-04 02:54:51
408;b022;herpes zoster acompanhado de outras manifestações neurológicas;2025-10-04 02:54:51
409;b023;herpes zoster oftálmico;2025-10-04 02:54:51
410;b027;herpes zoster disseminado;2025-10-04 02:54:51
411;b028;herpes zoster com outras complicações;2025-10-04 02:54:51
412;b029;herpes zoster sem complicação;2025-10-04 02:54:51
413;b03;varíola;2025-10-04 02:54:51
414;b04;varíola dos macacos [monkeypox];2025-10-04 02:54:51
415;b050;sarampo complicado por encefalite;2025-10-04 02:54:51
416;b051;sarampo complicado por meningite;2025-10-04 02:54:51
417;b052;sarampo complicado por pneumonia;2025-10-04 02:54:51
418;b053;sarampo complicado por otite média;2025-10-04 02:54:51
419;b054;sarampo com complicações intestinais;2025-10-04 02:54:51
420;b058;sarampo com outras complicações;2025-10-04 02:54:51
421;b059;sarampo sem complicação;2025-10-04 02:54:51
